empresa_id,ticker,fecha_deteccion,market_cap_historico
82095,SNBR,2024-12-30,340918030.22003174
96238,SSII,2024-12-30,1451284738.5
81855,CVGI,2025-01-06,75316698.66217875
85443,AVNW,2025-01-07,214034615.50658226
88031,SCWO,2025-01-17,782755644.0524397
81291,ASMB,2025-01-21,365361529.9732294
82436,OPRT,2025-01-26,136306840.1047554
93097,GWAV,2025-02-02,683030686.7647018
90885,SRFM,2025-02-07,366169808.7030902
84618,CVI,2025-03-09,1567607953.6437988
81760,IBIO,2025-03-11,158178483.2380476
84000,HP,2025-04-11,1897026175.3698273
84280,EAF,2025-04-14,1805271443.5950398
84472,CMCO,2025-04-14,387626162.3167076
261460,AARD,2025-04-15,172420963.26330948
85162,MITK,2025-04-21,359351884.4478593
86209,TALK,2025-04-26,529055494.5943594
83826,BLMN,2025-04-29,672049769.033905
81929,ONL,2025-05-11,112298335.65718389
84910,HFFG,2025-05-16,219576627.2695923
82154,PEB,2025-05-23,1065237136.8562889
82237,TOI,2025-05-25,224425016.98259354
258436,NTHI,2025-05-25,137373318.72802353
81522,CVGW,2025-06-01,491519536.3883972
82581,RGP,2025-06-03,178168159.35516357
90209,CBRL,2025-06-03,1249767262.166809
81943,THRM,2025-06-24,884353074.0825806
83858,RGR,2025-07-05,647232354.7528
94863,AESI,2025-07-08,1785176434.394165
85500,WFCF,2025-07-12,57738668.21575165
83170,SNDX,2025-07-15,792604102.4528933
86056,ICU,2025-07-19,123137208.24601698
84996,SLS,2025-07-21,52528822.97696471
81525,SONO,2025-08-11,1413787274.6635857
263522,ASIC,2025-08-11,897885484.9887848
82886,CLAR,2025-08-19,134022980.36623001
268945,NEGG,2025-09-06,202510795.09735107
84034,HELE,2025-09-13,553850309.3507156
269496,CARL,2025-09-22,66754462.0
267473,SI,2025-09-30,258339080.77623653
81563,NRGV,2025-10-10,515171606.7612171
85476,CPSH,2025-10-10,65091161.237123966
81498,MXCT,2025-10-12,164232284.15184116
82248,ENOV,2025-10-12,1697964034.6326275
267254,AEBI,2025-10-14,899859203.9192333
268786,PEW,2025-10-18,131023914.86876488
85012,NEXT,2025-11-11,1602263984.8709106
272985,BETA,2026-01-04,1027022342.5629826
82631,GLRE,2026-01-05,490687873.8470402
270690,XZO,2026-01-05,1888115702.8829594
82152,DIN,2026-01-06,645179046.6016655
272990,BLLN,2026-01-06,1060612918.2574234
81336,BLND,2026-01-09,855728990.0779724
83060,FRPH,2026-01-09,445245137.62081146
100951,TENX,2026-01-16,63724676.22083664
253911,SVCO,2026-01-16,137390368.5
262538,VENU,2026-01-17,398320823.3698082
84616,RPD,2026-01-19,825871078.4319878
256284,INV,2026-01-19,210825592.5
272692,GLOO,2026-01-19,52574893.89172459
81615,OFLX,2026-01-23,337251296.4797287
89270,BUKS,2026-02-21,211196317.44829535
84523,VCLN,2026-03-29,1158618363.766737
274016,BOBS,2026-04-07,1367660973.620922
83155,CEVA,2026-04-20,666117508.5389977
83545,TNC,2026-04-27,1405617510.0
271999,LOGC,2026-04-27,226805500.0
275984,GENB,2026-05-01,1685731115.6984482
82416,ALKT,2026-05-08,1886922005.5694675
81882,MLAB,2026-05-09,578171688.8801956
81492,KLTR,2026-05-18,224342431.5
